2020-12-29 21:12:82 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:488 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:223 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:329 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:682 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //select[@id='models']]
2020-12-29 21:12:946 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:265 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:513 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:284 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (cd25d1357a35ecb806caf1b6711e54c2)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:421 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 22:12:809 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 22:12:420 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 22:12:537 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (e1edf713a2904a772299188c4c9d5dc4)] -> xpath: //select[@id='makes']]
